 0.1000000000000000E-02  0.1569502707573145E-05
 0.1001569502707573E-02  0.1571963572770960E-05
 0.1003141466280344E-02  0.1574428288654822E-05
 0.1004715894568999E-02  0.1576896861225354E-05
 0.1006292791430224E-02  0.1579369296493376E-05
 0.1007872160726718E-02  0.1581845600477725E-05
 0.1009454006327195E-02  0.1584325779207434E-05
 0.1011038332106403E-02  0.1586809838721075E-05
 0.1012625141945124E-02  0.1589297785065460E-05
 0.1014214439730189E-02  0.1591789624298678E-05
 0.1015806229354488E-02  0.1594285362485756E-05
 0.1017400514716974E-02  0.1596785005702995E-05
 0.1018997299722677E-02  0.1599288560035373E-05
 0.1020596588282712E-02  0.1601796031576973E-05
 0.1022198384314289E-02  0.1604307426432069E-05
 0.1023802691740721E-02  0.1606822750713612E-05
 0.1025409514491435E-02  0.1609342010544306E-05
 0.1027018856501979E-02  0.1611865212056618E-05
 0.1028630721714036E-02  0.1614392361392334E-05
 0.1030245114075428E-02  0.1616923464701049E-05
 0.1031862037540129E-02  0.1619458528144936E-05
 0.1033481496068274E-02  0.1621997557894189E-05
 0.1035103493626168E-02  0.1624540560128110E-05
 0.1036728034186296E-02  0.1627087541035757E-05
 0.1038355121727332E-02  0.1629638506816166E-05
 0.1039984760234148E-02  0.1632193463677479E-05
 0.1041616953697826E-02  0.1634752417838028E-05
 0.1043251706115664E-02  0.1637315375525037E-05
 0.1044889021491189E-02  0.1639882342975704E-05
 0.1046528903834165E-02  0.1642453326437202E-05
 0.1048171357160602E-02  0.1645028332165812E-05
 0.1049816385492768E-02  0.1647607366427137E-05
 0.1051463992859195E-02  0.1650190435498276E-05
 0.1053114183294693E-02  0.1652777545662829E-05
 0.1054766960840356E-02  0.1655368703218059E-05
 0.1056422329543574E-02  0.1657963914467302E-05
 0.1058080293458041E-02  0.1660563185726252E-05
 0.1059740856643767E-02  0.1663166523318627E-05
 0.1061404023167086E-02  0.1665773933579202E-05
 0.1063069797100665E-02  0.1668385422851646E-05
 0.1064738182523517E-02  0.1671000997489815E-05
 0.1066409183521007E-02  0.1673620663856677E-05
 0.1068082804184863E-02  0.1676244428326472E-05
 0.1069759048613190E-02  0.1678872297282332E-05
 0.1071437920910472E-02  0.1681504277116714E-05
 0.1073119425187589E-02  0.1684140374233999E-05
 0.1074803565561823E-02  0.1686780595044858E-05
 0.1076490346156868E-02  0.1689424945973839E-05
 0.1078179771102842E-02  0.1692073433453298E-05
 0.1079871844536295E-02  0.1694726063925130E-05
 0.1081566570600220E-02  0.1697382843842288E-05
 0.1083263953444062E-02  0.1700043779667270E-05
 0.1084963997223730E-02  0.1702708877873195E-05
 0.1086666706101603E-02  0.1705378144941641E-05
 0.1088372084246544E-02  0.1708051587364810E-05
 0.1090080135833909E-02  0.1710729211647482E-05
 0.1091790865045557E-02  0.1713411024298556E-05
 0.1093504276069855E-02  0.1716097031842544E-05
 0.1095220373101698E-02  0.1718787240813499E-05
 0.1096939160342511E-02  0.1721481657751761E-05
 0.1098660642000263E-02  0.1724180289211551E-05
