 0.1000000000000000E-02  0.1176896474853638E-05
 0.1001176896474854E-02  0.1178280170427773E-05
 0.1002355176645281E-02  0.1179665489563437E-05
 0.1003534842134845E-02  0.1181052434154079E-05
 0.1004715894568999E-02  0.1182441006102476E-05
 0.1005898335575101E-02  0.1183831207307497E-05
 0.1007082166782409E-02  0.1185223039676039E-05
 0.1008267389822085E-02  0.1186616505110443E-05
 0.1009454006327195E-02  0.1188011605523023E-05
 0.1010642017932718E-02  0.1189408342820676E-05
 0.1011831426275539E-02  0.1190806718919185E-05
 0.1013022232994458E-02  0.1192206735731085E-05
 0.1014214439730189E-02  0.1193608395175846E-05
 0.1015408048125365E-02  0.1195011699170337E-05
 0.1016603059824536E-02  0.1196416649638802E-05
 0.1017799476474174E-02  0.1197823248502445E-05
 0.1018997299722677E-02  0.1199231497690280E-05
 0.1020196531220367E-02  0.1200641399126765E-05
 0.1021397172619494E-02  0.1202052954747419E-05
 0.1022599225574241E-02  0.1203466166479952E-05
 0.1023802691740721E-02  0.1204881036263785E-05
 0.1025007572776985E-02  0.1206297566032051E-05
 0.1026213870343017E-02  0.1207715757728075E-05
 0.1027421586100745E-02  0.1209135613290625E-05
 0.1028630721714036E-02  0.1210557134666062E-05
 0.1029841278848702E-02  0.1211980323799228E-05
 0.1031053259172501E-02  0.1213405182637567E-05
 0.1032266664355139E-02  0.1214831713135462E-05
 0.1033481496068274E-02  0.1216259917241657E-05
 0.1034697755985516E-02  0.1217689796915522E-05
 0.1035915445782431E-02  0.1219121354110574E-05
 0.1037134567136542E-02  0.1220554590790303E-05
 0.1038355121727332E-02  0.1221989508913644E-05
 0.1039577111236246E-02  0.1223426110448208E-05
 0.1040800537346694E-02  0.1224864397356834E-05
 0.1042025401744051E-02  0.1226304371612988E-05
 0.1043251706115664E-02  0.1227746035182978E-05
 0.1044479452150847E-02  0.1229189390044606E-05
 0.1045708641540891E-02  0.1230634438169819E-05
 0.1046939275979061E-02  0.1232081181540539E-05
 0.1048171357160602E-02  0.1233529622133482E-05
 0.1049404886782735E-02  0.1234979761934908E-05
 0.1050639866544670E-02  0.1236431602925653E-05
 0.1051876298147596E-02  0.1237885147097181E-05
 0.1053114183294693E-02  0.1239340396434665E-05
 0.1054353523691128E-02  0.1240797352934772E-05
 0.1055594321044062E-02  0.1242256018586796E-05
 0.1056836577062649E-02  0.1243716395391958E-05
 0.1058080293458041E-02  0.1245178485344105E-05
 0.1059325471943385E-02  0.1246642290449445E-05
 0.1060572114233835E-02  0.1248107812706813E-05
 0.1061820222046542E-02  0.1249575054123719E-05
 0.1063069797100665E-02  0.1251044016710272E-05
